SNo,Rank,Allotted Quota,Allotted Institute,Course,Alloted Category,candidate Category,option No.,Remarks
65,67,-,-,-,-,-,-,No Upgradation
66,68,-,-,-,-,-,-,Did not opt for Upgradation.
67,69,-,-,-,-,-,-,No Upgradation
68,70,-,-,-,-,-,-,Did not opt for Upgradation.
69,71,-,-,-,-,-,-,Did not fill up fresh choices.
70,72,Open Seat Quota,"AIIMS, Bhubaneswar
, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-
751019, Odisha,
751019",MBBS,Open,GN,2,Upgraded
71,73,-,-,-,-,-,-,No Upgradation
72,74,-,-,-,-,-,-,Did not opt for Upgradation.
73,75,-,-,-,-,-,-,Did not opt for Upgradation.
74,76,-,-,-,-,-,-,Did not opt for Upgradation.
75,77,-,-,-,-,-,-,Did not opt for Upgradation.
76,78,-,-,-,-,-,-,No Upgradation
77,79,-,-,-,-,-,-,No Upgradation
78,80,-,-,-,-,-,-,No Upgradation
79,81,-,-,-,-,-,-,No Upgradation
80,82,-,-,-,-,-,-,Did not opt for Upgradation.
81,83,-,-,-,-,-,-,No Upgradation
82,84,-,-,-,-,-,-,Did not opt for Upgradation.
83,85,-,-,-,-,-,-,Did not opt for Upgradation.
84,86,-,-,-,-,-,-,No Upgradation
85,87,-,-,-,-,-,-,No Upgradation
86,88,-,-,-,-,-,-,Did not opt for Upgradation.
87,89,-,-,-,-,-,-,Did not opt for Upgradation.
88,90,-,-,-,-,-,-,Did not fill up fresh choices.
89,91,All India,"GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, CHANDIGAR , GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, SECTOR 32, CHANDIGARH",MBBS,Open,GN,2,Upgraded
90,92,-,-,-,-,-,-,Did not opt for Upgradation.
91,93,-,-,-,-,-,-,Did not opt for Upgradation.
92,94,-,-,-,-,-,-,Did not opt for Upgradation.
93,95,-,-,-,-,-,-,Did not opt for Upgradation.
94,96,-,-,-,-,-,-,Did not opt for Upgradation.
95,97,-,-,-,-,-,-,Did not opt for Upgradation.
96,98,All India,"Maulana Azad Medical College, New Delhi , 2 Bahadur Shah Zafar Marg New Delhi, Delhi (NCT), 110002",MBBS,Open,GN,2,Upgraded
97,99,-,-,-,-,-,-,No Upgradation
98,100,-,-,-,-,-,-,Did not fill up fresh choices.
99,101,-,-,-,-,-,-,No Upgradation
100,102,-,-,-,-,-,-,Did not opt for Upgradation.
101,103,-,-,-,-,-,-,Did not opt for Upgradation.
102,104,-,-,-,-,-,-,Did not opt for Upgradation.
103,105,-,-,-,-,-,-,No Upgradation
104,106,-,-,-,-,-,-,Did not opt for Upgradation.
105,107,All India,"Maulana Azad Medical College, New Delhi , 2 Bahadur Shah Zafar Marg New Delhi, Delhi (NCT), 110002",MBBS,Open,GN,2,Upgraded
106,108,-,-,-,-,-,-,Did not opt for Upgradation.
107,109,-,-,-,-,-,-,No Upgradation
108,110,-,-,-,-,-,-,Did not opt for Upgradation.
109,111,-,-,-,-,-,-,Did not opt for Upgradation.
110,112,-,-,-,-,-,-,Did not fill up fresh choices.
111,113,-,-,-,-,-,-,Did not opt for Upgradation.
112,114,-,-,-,-,-,-,Did not opt for Upgradation.
113,115,-,-,-,-,-,-,Did not opt for Upgradation.
114,116,-,-,-,-,-,-,Did not opt for Upgradation.
115,117,-,-,-,-,-,-,Did not opt for Upgradation.
116,118,-,-,-,-,-,-,Did not opt for Upgradation.
117,119,-,-,-,-,-,-,Did not fill up fresh choices.
118,120,-,-,-,-,-,-,No Upgradation
119,121,-,-,-,-,-,-,Did not opt for Upgradation.
120,122,-,-,-,-,-,-,Did not opt for Upgradation.
121,123,-,-,-,-,-,-,Did not opt for Upgradation.
122,124,-,-,-,-,-,-,No Upgradation
123,125,-,-,-,-,-,-,Did not opt for Upgradation.
124,126,-,-,-,-,-,-,Did not opt for Upgradation.
125,127,-,-,-,-,-,-,Did not opt for Upgradation.
126,128,-,-,-,-,-,-,Did not opt for Upgradation.
127,129,-,-,-,-,-,-,Did not opt for Upgradation.
128,130,-,-,-,-,-,-,Did not opt for Upgradation.
129,131,-,-,-,-,-,-,Did not fill up fresh choices.
130,132,-,-,-,-,-,-,No Upgradation
131,133,-,-,-,-,-,-,Did not opt for Upgradation.
132,134,-,-,-,-,-,-,Did not opt for Upgradation.
133,135,-,-,-,-,-,-,Did not fill up fresh choices.
134,136,-,-,-,-,-,-,No Upgradation
135,137,-,-,-,-,-,-,Did not opt for Upgradation.
136,138,-,-,-,-,-,-,Did not opt for Upgradation.
137,139,-,-,-,-,-,-,Did not opt for Upgradation.
138,140,-,-,-,-,-,-,Did not opt for Upgradation.
139,141,-,-,-,-,-,-,Did not opt for Upgradation.
140,142,-,-,-,-,-,-,No Upgradation
141,143,-,-,-,-,-,-,Did not fill up fresh choices.
142,144,-,-,-,-,-,-,No Upgradation
143,145,-,-,-,-,-,-,Did not opt for Upgradation.
144,146,-,-,-,-,-,-,Did not opt for Upgradation.
145,147,-,-,-,-,-,-,No Upgradation
146,148,-,-,-,-,-,-,Did not opt for Upgradation.
147,149,-,-,-,-,-,-,Did not opt for Upgradation.
148,150,-,-,-,-,-,-,Did not opt for Upgradation.
149,151,-,-,-,-,-,-,Did not opt for Upgradation.
150,153,-,-,-,-,-,-,No Upgradation
151,154,-,-,-,-,-,-,Did not opt for Upgradation.
152,155,-,-,-,-,-,-,Did not opt for Upgradation.
153,156,-,-,-,-,-,-,No Upgradation
154,157,-,-,-,-,-,-,No Upgradation
155,158,-,-,-,-,-,-,Did not fill up fresh choices.
156,159,-,-,-,-,-,-,Did not opt for Upgradation.
157,160,-,-,-,-,-,-,Did not opt for Upgradation.
158,161,-,-,-,-,-,-,Did not opt for Upgradation.
159,162,-,-,-,-,-,-,No Upgradation
160,163,-,-,-,-,-,-,Did not opt for Upgradation.
161,164,-,-,-,-,-,-,Did not opt for Upgradation.
162,165,-,-,-,-,-,-,Did not opt for Upgradation.
163,166,-,-,-,-,-,-,Did not opt for Upgradation.
164,167,Open Seat Quota,"AIIMS-Bhopal, , SAKET NAGAR
BHOPAL, Madhya Pradesh, 462020",MBBS,Open,GN,4,Upgraded
165,168,-,-,-,-,-,-,No Upgradation
166,169,-,-,-,-,-,-,Did not opt for Upgradation.
167,170,All India,"University College of Medical Sciences, New Delhi , Dilshad Garden, Delhi (NCT), 110095",MBBS,Open,GN,5,Fresh Allotted in 2nd Round
168,171,-,-,-,-,-,-,Did not opt for Upgradation.
169,172,-,-,-,-,-,-,No Upgradation
170,173,-,-,-,-,-,-,No Upgradation
171,174,-,-,-,-,-,-,Did not opt for Upgradation.
172,175,-,-,-,-,-,-,Did not opt for Upgradation.
173,176,-,-,-,-,-,-,Did not opt for Upgradation.
174,177,-,-,-,-,-,-,Did not opt for Upgradation.
175,178,-,-,-,-,-,-,Did not opt for Upgradation.
176,179,-,-,-,-,-,-,Did not opt for Upgradation.
177,180,-,-,-,-,-,-,No Upgradation
178,181,-,-,-,-,-,-,No Upgradation
179,182,-,-,-,-,-,-,Did not opt for Upgradation.
180,183,-,-,-,-,-,-,Did not opt for Upgradation.
181,184,-,-,-,-,-,-,Did not opt for Upgradation.
182,185,-,-,-,-,-,-,Did not opt for Upgradation.
183,186,-,-,-,-,-,-,Did not opt for Upgradation.
184,187,-,-,-,-,-,-,Did not opt for Upgradation.
185,188,-,-,-,-,-,-,Did not opt for Upgradation.
186,189,-,-,-,-,-,-,Did not opt for Upgradation.
187,190,-,-,-,-,-,-,Did not opt for Upgradation.
188,191,-,-,-,-,-,-,No Upgradation
189,192,-,-,-,-,-,-,Did not opt for Upgradation.
190,193,-,-,-,-,-,-,Did not opt for Upgradation.
191,194,-,-,-,-,-,-,No Upgradation
192,195,-,-,-,-,-,-,Did not opt for Upgradation.
193,196,All India,"BELGAUM INST. OF MEDICAL SCI., BELGAUM , DR B R AMBEDKAR ROAD BELAGAVI.,
Karnataka, 590001",MBBS,Open,GN,1,Fresh Allotted in 2nd Round
194,197,-,-,-,-,-,-,Did not opt for Upgradation.
195,198,-,-,-,-,-,-,No Upgradation
196,199,-,-,-,-,-,-,Did not opt for Upgradation.
197,200,-,-,-,-,-,-,Did not opt for Upgradation.
198,201,-,-,-,-,-,-,No Upgradation
199,202,-,-,-,-,-,-,Did not opt for Upgradation.
200,203,-,-,-,-,-,-,Did not fill up fresh choices.
201,205,-,-,-,-,-,-,Did not opt for Upgradation.
202,206,-,-,-,-,-,-,Did not opt for Upgradation.
203,207,-,-,-,-,-,-,Did not opt for Upgradation.
204,208,-,-,-,-,-,-,No Upgradation
205,209,-,-,-,-,-,-,Did not opt for Upgradation.
206,210,-,-,-,-,-,-,No Upgradation
207,211,-,-,-,-,-,-,Did not opt for Upgradation.
208,212,-,-,-,-,-,-,No Upgradation
209,213,-,-,-,-,-,-,Did not opt for Upgradation.
210,214,-,-,-,-,-,-,Did not opt for Upgradation.
211,215,-,-,-,-,-,-,No Upgradation
212,216,-,-,-,-,-,-,Did not opt for Upgradation.
213,217,All India,"University College of Medical Sciences, New Delhi , Dilshad Garden, Delhi (NCT), 110095",MBBS,Open,GN,3,Fresh Allotted in 2nd Round
214,218,-,-,-,-,-,-,Did not opt for Upgradation.
215,219,-,-,-,-,-,-,No Upgradation
216,220,-,-,-,-,-,-,No Upgradation
217,221,-,-,-,-,-,-,Did not opt for Upgradation.
218,222,-,-,-,-,-,-,Did not opt for Upgradation.
219,223,-,-,-,-,-,-,Did not opt for Upgradation.
220,225,-,-,-,-,-,-,Did not opt for Upgradation.
221,226,-,-,-,-,-,-,Did not opt for Upgradation.
222,227,-,-,-,-,-,-,No Upgradation
223,228,-,-,-,-,-,-,Did not opt for Upgradation.
224,229,-,-,-,-,-,-,Did not opt for Upgradation.
225,230,-,-,-,-,-,-,Did not opt for Upgradation.
226,231,-,-,-,-,-,-,Did not opt for Upgradation.
227,232,-,-,-,-,-,-,Did not fill up fresh choices.
228,233,-,-,-,-,-,-,Did not opt for Upgradation.
229,234,-,-,-,-,-,-,Did not opt for Upgradation.
230,235,-,-,-,-,-,-,Did not opt for Upgradation.
231,236,-,-,-,-,-,-,No Upgradation
232,237,-,-,-,-,-,-,Did not fill up fresh choices.
233,238,-,-,-,-,-,-,No Upgradation
234,239,-,-,-,-,-,-,No Upgradation
235,240,-,-,-,-,-,-,No Upgradation
236,241,-,-,-,-,-,-,Did not opt for Upgradation.
237,242,-,-,-,-,-,-,Did not opt for Upgradation.
238,243,-,-,-,-,-,-,Did not opt for Upgradation.
239,244,-,-,-,-,-,-,Did not opt for Upgradation.
240,245,-,-,-,-,-,-,Did not fill up fresh choices.
241,246,-,-,-,-,-,-,Did not opt for Upgradation.
242,247,Open Seat Quota,"AIIMS, New Delhi , AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029,
Delhi (NCT), 110029",MBBS,OBC,OBC,1,Upgraded
243,248,-,-,-,-,-,-,No Upgradation
244,249,-,-,-,-,-,-,No Upgradation
245,250,-,-,-,-,-,-,No Upgradation
246,251,-,-,-,-,-,-,No Upgradation
247,252,-,-,-,-,-,-,No Upgradation
248,253,Open Seat Quota,"AIIMS, Rishikesh  , ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH
Uttarakhand - 249203, Uttarakhand,
249203",MBBS,Open,OBC,2,Upgraded
249,254,-,-,-,-,-,-,Did not opt for Upgradation.
250,255,-,-,-,-,-,-,No Upgradation
251,256,-,-,-,-,-,-,Did not opt for Upgradation.
252,257,-,-,-,-,-,-,No Upgradation
253,258,-,-,-,-,-,-,Did not opt for Upgradation.
254,259,-,-,-,-,-,-,No Upgradation
255,260,-,-,-,-,-,-,Did not opt for Upgradation.
256,261,-,-,-,-,-,-,Did not opt for Upgradation.
257,262,-,-,-,-,-,-,Did not opt for Upgradation.
258,263,-,-,-,-,-,-,Did not opt for Upgradation.
259,264,-,-,-,-,-,-,Did not opt for Upgradation.
260,265,-,-,-,-,-,-,Did not opt for Upgradation.
261,266,-,-,-,-,-,-,Did not opt for Upgradation.
262,267,-,-,-,-,-,-,Did not opt for Upgradation.
263,268,-,-,-,-,-,-,Did not opt for Upgradation.
264,269,Open Seat Quota,"AIIMS Bathinda  , Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",MBBS,Open,GN,3,Fresh Allotted in 2nd Round
265,270,-,-,-,-,-,-,Did not opt for Upgradation.
266,271,-,-,-,-,-,-,Did not opt for Upgradation.
267,272,-,-,-,-,-,-,Did not opt for Upgradation.
268,273,-,-,-,-,-,-,Did not opt for Upgradation.
269,274,-,-,-,-,-,-,Did not opt for Upgradation.
270,275,-,-,-,-,-,-,Did not opt for Upgradation.
271,276,-,-,-,-,-,-,Did not opt for Upgradation.
272,277,-,-,-,-,-,-,No Upgradation
273,278,-,-,-,-,-,-,Did not opt for Upgradation.
274,279,-,-,-,-,-,-,Did not opt for Upgradation.
275,280,-,-,-,-,-,-,No Upgradation
276,281,-,-,-,-,-,-,Did not opt for Upgradation.
277,282,-,-,-,-,-,-,Did not opt for Upgradation.
278,283,-,-,-,-,-,-,Did not opt for Upgradation.
279,284,-,-,-,-,-,-,Did not opt for Upgradation.
280,285,-,-,-,-,-,-,Did not opt for Upgradation.
281,286,-,-,-,-,-,-,Did not opt for Upgradation.
282,287,-,-,-,-,-,-,Did not opt for Upgradation.
283,288,-,-,-,-,-,-,No Upgradation
284,289,-,-,-,-,-,-,Did not opt for Upgradation.
285,290,-,-,-,-,-,-,Did not opt for Upgradation.
286,291,-,-,-,-,-,-,No Upgradation
287,292,-,-,-,-,-,-,Did not opt for Upgradation.
288,293,All India,"Maulana Azad Medical College, New Delhi , 2 Bahadur Shah Zafar Marg New Delhi, Delhi (NCT), 110002",MBBS,OBC,OBC,2,Fresh Allotted in 2nd Round
289,294,-,-,-,-,-,-,Did not opt for Upgradation.
290,295,-,-,-,-,-,-,No Upgradation
291,296,-,-,-,-,-,-,Did not opt for Upgradation.
292,297,-,-,-,-,-,-,Did not opt for Upgradation.
293,298,-,-,-,-,-,-,Did not opt for Upgradation.
294,299,-,-,-,-,-,-,Did not opt for Upgradation.
295,300,-,-,-,-,-,-,Did not opt for Upgradation.
296,301,-,-,-,-,-,-,Did not opt for Upgradation.
297,302,-,-,-,-,-,-,Did not opt for Upgradation.
298,303,-,-,-,-,-,-,Did not opt for Upgradation.
299,304,-,-,-,-,-,-,No Upgradation
300,305,-,-,-,-,-,-,No Upgradation
301,306,-,-,-,-,-,-,Did not opt for Upgradation.
302,307,-,-,-,-,-,-,Did not opt for Upgradation.
303,308,-,-,-,-,-,-,Did not opt for Upgradation.
304,309,-,-,-,-,-,-,Did not opt for Upgradation.
305,310,-,-,-,-,-,-,Not Allotted.
306,311,-,-,-,-,-,-,Did not opt for Upgradation.
307,312,-,-,-,-,-,-,No Upgradation
308,313,-,-,-,-,-,-,Did not opt for Upgradation.
309,314,-,-,-,-,-,-,Did not opt for Upgradation.
310,315,-,-,-,-,-,-,Did not opt for Upgradation.
311,316,-,-,-,-,-,-,Did not opt for Upgradation.
312,317,-,-,-,-,-,-,Did not opt for Upgradation.
313,318,-,-,-,-,-,-,No Upgradation
314,319,-,-,-,-,-,-,Did not opt for Upgradation.
315,320,-,-,-,-,-,-,No Upgradation
316,321,-,-,-,-,-,-,No Upgradation
317,322,-,-,-,-,-,-,Did not opt for Upgradation.
318,323,-,-,-,-,-,-,No Upgradation
319,324,-,-,-,-,-,-,Did not opt for Upgradation.
320,325,-,-,-,-,-,-,No Upgradation
321,326,-,-,-,-,-,-,Did not opt for Upgradation.
322,327,-,-,-,-,-,-,Did not opt for Upgradation.
323,328,-,-,-,-,-,-,Did not opt for Upgradation.
324,329,Open Seat Quota,"AIIMS-Bhopal, , SAKET NAGAR
BHOPAL, Madhya Pradesh, 462020",MBBS,Open,GN,5,Upgraded
325,330,-,-,-,-,-,-,No Upgradation
326,331,-,-,-,-,-,-,Did not fill up fresh choices.
327,332,-,-,-,-,-,-,No Upgradation
328,333,-,-,-,-,-,-,Did not opt for Upgradation.
329,334,-,-,-,-,-,-,Did not opt for Upgradation.
330,335,-,-,-,-,-,-,No Upgradation
331,336,-,-,-,-,-,-,No Upgradation
332,338,-,-,-,-,-,-,Did not opt for Upgradation.
333,339,-,-,-,-,-,-,Did not opt for Upgradation.
334,340,-,-,-,-,-,-,Did not opt for Upgradation.
335,341,-,-,-,-,-,-,Did not opt for Upgradation.
336,342,-,-,-,-,-,-,No Upgradation
337,343,-,-,-,-,-,-,Did not opt for Upgradation.
338,344,-,-,-,-,-,-,Did not opt for Upgradation.
339,345,-,-,-,-,-,-,Did not opt for Upgradation.
340,346,All India,"Maulana Azad Medical College, New Delhi , 2 Bahadur Shah Zafar Marg New Delhi, Delhi (NCT), 110002",MBBS,EWS,EWS,2,Upgraded
341,347,-,-,-,-,-,-,No Upgradation
342,348,-,-,-,-,-,-,Did not opt for Upgradation.
343,349,-,-,-,-,-,-,No Upgradation
344,350,-,-,-,-,-,-,Did not opt for Upgradation.
345,351,-,-,-,-,-,-,No Upgradation
346,352,-,-,-,-,-,-,Did not opt for Upgradation.
347,353,-,-,-,-,-,-,Did not fill up fresh choices.
348,354,-,-,-,-,-,-,Did not opt for Upgradation.
349,355,-,-,-,-,-,-,Did not opt for Upgradation.
350,356,-,-,-,-,-,-,Did not opt for Upgradation.
351,357,Open Seat Quota,"AIIMS Bathinda  , Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",MBBS,Open,GN,5,Upgraded
352,358,-,-,-,-,-,-,No Upgradation
353,359,-,-,-,-,-,-,Did not opt for Upgradation.
354,360,-,-,-,-,-,-,No Upgradation
355,361,-,-,-,-,-,-,No Upgradation
356,362,-,-,-,-,-,-,Did not opt for Upgradation.
357,363,-,-,-,-,-,-,No Upgradation
358,364,-,-,-,-,-,-,No Upgradation
359,365,-,-,-,-,-,-,Did not fill up fresh choices.
360,366,-,-,-,-,-,-,No Upgradation
361,367,-,-,-,-,-,-,Did not opt for Upgradation.
362,368,-,-,-,-,-,-,No Upgradation
363,369,-,-,-,-,-,-,Did not opt for Upgradation.
364,370,-,-,-,-,-,-,Did not opt for Upgradation.
365,371,-,-,-,-,-,-,Did not opt for Upgradation.
366,372,All India,"Maulana Azad Medical College, New Delhi , 2 Bahadur Shah Zafar Marg New Delhi, Delhi (NCT), 110002",MBBS,OBC,OBC,2,Upgraded
367,373,Open Seat Quota,"JIPMER PUDUCHERRY ,
Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,OBC,OBC,1,Fresh Allotted in 2nd Round
368,374,-,-,-,-,-,-,Did not opt for Upgradation.
369,375,IP University Quota,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC , Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open,OBC,2,Upgraded
370,376,-,-,-,-,-,-,Did not opt for Upgradation.
371,377,-,-,-,-,-,-,Did not opt for Upgradation.
372,378,-,-,-,-,-,-,Did not opt for Upgradation.
373,379,-,-,-,-,-,-,Did not opt for Upgradation.
374,380,-,-,-,-,-,-,No Upgradation
375,381,-,-,-,-,-,-,Did not opt for Upgradation.
376,382,-,-,-,-,-,-,Did not opt for Upgradation.
377,383,-,-,-,-,-,-,Not Allotted.
378,384,-,-,-,-,-,-,Did not opt for Upgradation.
379,385,-,-,-,-,-,-,No Upgradation
380,386,-,-,-,-,-,-,Did not opt for Upgradation.
381,387,-,-,-,-,-,-,Did not opt for Upgradation.
382,388,-,-,-,-,-,-,No Upgradation
383,389,-,-,-,-,-,-,Did not opt for Upgradation.
384,390,-,-,-,-,-,-,Did not opt for Upgradation.
385,391,-,-,-,-,-,-,Did not opt for Upgradation.
386,392,-,-,-,-,-,-,No Upgradation
387,393,-,-,-,-,-,-,No Upgradation
388,394,-,-,-,-,-,-,Did not opt for Upgradation.
389,395,-,-,-,-,-,-,Did not opt for Upgradation.
390,396,-,-,-,-,-,-,Did not opt for Upgradation.
391,398,-,-,-,-,-,-,Did not opt for Upgradation.
392,399,-,-,-,-,-,-,Did not opt for Upgradation.
393,400,-,-,-,-,-,-,Did not opt for Upgradation.
394,401,-,-,-,-,-,-,Did not opt for Upgradation.
395,402,All India,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC , Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,EWS,EWS,3,Upgraded
396,403,-,-,-,-,-,-,Did not opt for Upgradation.
397,404,-,-,-,-,-,-,Did not opt for Upgradation.
398,405,-,-,-,-,-,-,Did not opt for Upgradation.
399,406,-,-,-,-,-,-,No Upgradation
400,408,Open Seat Quota,"AIIMS-Bhopal, , SAKET NAGAR
BHOPAL, Madhya Pradesh, 462020",MBBS,Open,GN,2,Upgraded
401,409,-,-,-,-,-,-,Did not opt for Upgradation.
402,410,-,-,-,-,-,-,No Upgradation
403,411,Open Seat Quota,"JIPMER PUDUCHERRY ,
Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,OBC,OBC,2,Fresh Allotted in 2nd Round
404,412,-,-,-,-,-,-,No Upgradation
405,413,-,-,-,-,-,-,Did not fill up fresh choices.
406,414,-,-,-,-,-,-,No Upgradation
407,415,-,-,-,-,-,-,No Upgradation
408,416,-,-,-,-,-,-,No Upgradation
409,417,-,-,-,-,-,-,Did not opt for Upgradation.
410,419,-,-,-,-,-,-,Did not opt for Upgradation.
411,420,-,-,-,-,-,-,Did not opt for Upgradation.
412,421,-,-,-,-,-,-,No Upgradation
413,422,-,-,-,-,-,-,No Upgradation
414,423,-,-,-,-,-,-,Did not opt for Upgradation.
415,424,-,-,-,-,-,-,Did not opt for Upgradation.
416,425,-,-,-,-,-,-,No Upgradation
417,426,All India,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC , Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,OBC,OBC,3,Upgraded
418,427,-,-,-,-,-,-,Did not opt for Upgradation.
419,428,-,-,-,-,-,-,Did not opt for Upgradation.
420,429,-,-,-,-,-,-,Did not opt for Upgradation.
421,430,-,-,-,-,-,-,No Upgradation
422,433,-,-,-,-,-,-,Did not opt for Upgradation.
423,434,-,-,-,-,-,-,Did not opt for Upgradation.
424,435,-,-,-,-,-,-,Did not opt for Upgradation.
425,436,-,-,-,-,-,-,Did not opt for Upgradation.
426,437,-,-,-,-,-,-,Did not opt for Upgradation.
427,438,-,-,-,-,-,-,Did not opt for Upgradation.
428,439,-,-,-,-,-,-,Did not opt for Upgradation.
429,440,-,-,-,-,-,-,Did not opt for Upgradation.
430,441,-,-,-,-,-,-,Did not opt for Upgradation.
431,442,-,-,-,-,-,-,Did not opt for Upgradation.
432,443,-,-,-,-,-,-,Did not opt for Upgradation.
433,444,-,-,-,-,-,-,Did not opt for Upgradation.
434,445,-,-,-,-,-,-,No Upgradation
435,446,-,-,-,-,-,-,No Upgradation
436,447,-,-,-,-,-,-,Did not fill up fresh choices.
437,448,-,-,-,-,-,-,Did not opt for Upgradation.
438,449,All India,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC , Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,OBC,OBC,3,Upgraded
439,450,-,-,-,-,-,-,Did not opt for Upgradation.
440,451,-,-,-,-,-,-,No Upgradation
441,452,All India,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC , Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,OBC,OBC,3,Upgraded
442,453,-,-,-,-,-,-,Did not opt for Upgradation.
