SNo,Rank,Allotted Quota,Allotted Institute,Course,Remarks,Alloted Category,candidate Category,option No.
45,46,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
46,47,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
47,48,All India,"B.J. MEDICAL COLLEGE,
AHMEDABAD",MBBS,Reported,-,-,-
48,49,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
49,50,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
50,51,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
51,52,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
52,53,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
53,54,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
54,55,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
55,56,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
56,57,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
57,58,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
58,59,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,Open,GN,1
59,60,All India,"MADRAS MEDICAL COLLEGE, CHENNAI",MBBS,Reported,-,-,-
60,61,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Reported,Open,GN,1
61,62,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
62,64,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
63,65,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
64,66,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
65,67,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
66,68,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
67,69,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
68,70,Foreign Country Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
69,71,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
70,72,All India,"MADRAS MEDICAL COLLEGE, CHENNAI",MBBS,Reported,Open,GN,2
71,73,All India,"B.J. MEDICAL COLLEGE,
AHMEDABAD",MBBS,Reported,-,-,-
72,74,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
73,75,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
74,76,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
75,77,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
76,78,All India,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC",MBBS,Reported,-,-,-
77,79,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
78,80,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
79,81,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
80,82,All India,"SETH G.S. MEDICAL COLLEGE, MUMBAI",MBBS,Reported,-,-,-
81,83,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
82,84,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
83,85,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Reported,-,-,-
84,86,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
85,87,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
86,88,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
87,89,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
88,90,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
89,91,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,Open,GN,2
90,92,All India,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC",MBBS,Reported,-,-,-
91,93,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
92,94,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
93,95,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
94,96,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
95,97,All India,"GOVT.MEDICAL COLLEGE,THIRUVA NANTHAPURAM",MBBS,Reported,-,-,-
96,98,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,Open,GN,2
97,99,All India,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC",MBBS,Reported,-,-,-
98,100,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
99,101,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
100,102,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
101,103,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
102,104,All India,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC",MBBS,Reported,-,-,-
103,105,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
104,106,All India,"B.J. MEDICAL COLLEGE,
AHMEDABAD",MBBS,Reported,-,-,-
105,107,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,Open,GN,2
106,108,All India,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC",MBBS,Reported,-,-,-
107,109,All India,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC",MBBS,Reported,-,-,-
108,110,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
109,111,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
110,112,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
111,113,All India,"SETH G.S. MEDICAL COLLEGE, MUMBAI",MBBS,Reported,-,-,-
112,114,All India,"SETH G.S. MEDICAL COLLEGE, MUMBAI",MBBS,Reported,-,-,-
113,115,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
114,116,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
115,117,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
116,118,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
117,119,Open Seat Quota,"AIIMS, Rishikesh",MBBS,Seat Surrendered,-,-,-
118,120,All India,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC",MBBS,Reported,-,-,-
119,121,Open Seat Quota,"AIIMS, Jodhpur",MBBS,Reported,-,-,-
120,122,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
121,123,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
122,124,All India,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC",MBBS,Reported,-,-,-
123,125,All India,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC",MBBS,Reported,-,-,-
124,126,All India,"MADRAS MEDICAL COLLEGE, CHENNAI",MBBS,Reported,-,-,-
125,127,Foreign Country Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
126,128,Open Seat Quota,"AIIMS, Rishikesh",MBBS,Reported,-,-,-
127,129,All India,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC",MBBS,Reported,-,-,-
128,130,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
129,131,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
130,132,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Reported,-,-,-
131,133,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
132,134,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
133,135,Open Seat Quota,"AIIMS, New Delhi",MBBS,Seat Surrendered,-,-,-
134,136,All India,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI",MBBS,Reported,-,-,-
135,137,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
136,138,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
137,139,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
138,140,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
139,141,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
140,142,All India,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI",MBBS,Reported,-,-,-
141,143,All India,"University College of Medical Sciences, New Delhi",MBBS,Reported,-,-,-
142,144,All India,"University College of Medical Sciences, New Delhi",MBBS,Reported,-,-,-
143,145,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
144,146,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
145,147,Open Seat Quota,"INST.OF MED.SCIENCES, BHU,VARANASI",MBBS,Reported,-,-,-
146,148,Open Seat Quota,"AIIMS, Jodhpur",MBBS,Reported,-,-,-
147,149,All India,"University College of Medical Sciences, New Delhi",MBBS,Reported,-,-,-
148,150,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
149,151,All India,"University College of Medical Sciences, New Delhi",MBBS,Reported,-,-,-
150,153,Open Seat Quota,"AIIMS, Jodhpur",MBBS,Reported,-,-,-
151,154,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
152,155,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
153,156,All India,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI",MBBS,Reported,-,-,-
154,157,All India,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI",MBBS,Reported,-,-,-
155,158,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
156,159,Foreign Country Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
157,160,"IP
University Quota","Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC",MBBS,Reported,-,-,-
158,161,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
159,162,All India,"Lady Hardinge Medical College, New Delhi",MBBS,Reported,-,-,-
160,163,All India,"University College of Medical Sciences, New Delhi",MBBS,Reported,-,-,-
161,164,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
162,165,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
163,166,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
164,167,All India,"University College of Medical Sciences, New Delhi",MBBS,Reported,Open,GN,4
165,168,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Reported,-,-,-
166,169,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Reported,-,-,-
167,170,All India,"University College of Medical Sciences, New Delhi",MBBS,Not Reported,Open,GN,5
168,171,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
169,172,All India,"University College of Medical Sciences, New Delhi",MBBS,Reported,-,-,-
170,173,All India,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI",MBBS,Reported,-,-,-
171,174,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
172,175,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
173,176,All India,"BAHIRAMJEE JIJIBHAI MEDICAL COLLGE, PUNE",MBBS,Reported,-,-,-
174,177,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
175,178,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
176,179,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
177,180,All India,"University College of Medical Sciences, New Delhi",MBBS,Reported,-,-,-
178,181,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
179,182,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
180,183,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
181,184,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
182,185,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
183,186,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
184,187,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
185,188,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
186,189,All India,"B.J. MEDICAL COLLEGE,
AHMEDABAD",MBBS,Reported,-,-,-
187,190,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
188,191,All India,"University College of Medical Sciences, New Delhi",MBBS,Reported,-,-,-
189,192,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
190,193,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
191,194,All India,"Lady Hardinge Medical College, New Delhi",MBBS,Reported,-,-,-
192,195,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
193,196,-,-,-,-,Open,GN,1
194,197,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
195,198,Open Seat Quota,"AIIMS, Jodhpur",MBBS,Reported,-,-,-
196,199,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
197,200,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
198,201,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Reported,-,-,-
199,202,Open Seat Quota,"AIIMS, Jodhpur",MBBS,Reported,-,-,-
200,203,All India,"Maulana Azad Medical College, New Delhi",MBBS,Not Reported,-,-,-
201,205,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
202,206,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
203,207,Open Seat Quota,"AIIMS, Jodhpur",MBBS,Reported,-,-,-
204,208,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
205,209,Open Seat Quota,"AIIMS, Jodhpur",MBBS,Reported,-,-,-
206,210,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
207,211,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
208,212,All India,"Lady Hardinge Medical College, New Delhi",MBBS,Reported,-,-,-
209,213,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
210,214,All India,"Lady Hardinge Medical College, New Delhi",MBBS,Reported,-,-,-
211,215,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
212,216,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
213,217,-,-,-,-,Open,GN,3
214,218,All India,"GOVERNMENT MEDICAL COLLEGE, SURAT",MBBS,Reported,-,-,-
215,219,All India,"Lady Hardinge Medical College, New Delhi",MBBS,Reported,-,-,-
216,220,All India,"KGMC, LUCKNOW",MBBS,Reported,-,-,-
217,221,All India,"GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, CHANDIGAR",MBBS,Reported,-,-,-
218,222,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
219,223,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
220,225,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
221,226,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
222,227,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Reported,-,-,-
223,228,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
224,229,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
225,230,Open Seat Quota,"AIIMS, Jodhpur",MBBS,Reported,-,-,-
226,231,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
227,232,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Not Reported,-,-,-
228,233,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
229,234,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
230,235,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
231,236,All India,"SETH G.S. MEDICAL COLLEGE, MUMBAI",MBBS,Reported,-,-,-
232,237,All India,"GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, CHANDIGAR",MBBS,Reported,-,-,-
233,238,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
234,239,All India,"Lady Hardinge Medical College, New Delhi",MBBS,Reported,-,-,-
235,240,All India,"GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, CHANDIGAR",MBBS,Reported,-,-,-
236,241,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
237,242,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
238,243,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Reported,-,-,-
239,244,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
240,245,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Not Reported,-,-,-
241,246,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
242,247,All India,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC",MBBS,Reported,OBC,OBC,1
243,248,All India,"GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, CHANDIGAR",MBBS,Reported,-,-,-
244,249,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
245,250,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Reported,-,-,-
246,251,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Reported,-,-,-
247,252,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
248,253,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,Open,OBC,2
249,254,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
250,255,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
251,256,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
252,257,Open Seat Quota,"INST.OF MED.SCIENCES, BHU,VARANASI",MBBS,Reported,-,-,-
253,258,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
254,259,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
255,260,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
256,261,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
257,262,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
258,263,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
259,264,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
260,265,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
261,266,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
262,267,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
263,268,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
264,269,All India,"GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, CHANDIGAR",MBBS,Seat Surrendered,Open,GN,3
265,270,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
266,271,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
267,272,All India,"SETH G.S. MEDICAL COLLEGE, MUMBAI",MBBS,Reported,-,-,-
268,273,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
269,274,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
270,275,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
271,276,All India,"S.M.S. MEDICAL COLLEGE, JAIPUR",MBBS,Reported,-,-,-
272,277,Open Seat Quota,"AIIMS, Jodhpur",MBBS,Reported,-,-,-
273,278,All India,"GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, CHANDIGAR",MBBS,Reported,-,-,-
274,279,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Reported,-,-,-
275,280,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
276,281,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
277,282,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
278,283,All India,"GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, CHANDIGAR",MBBS,Reported,-,-,-
279,284,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Reported,-,-,-
280,285,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
281,286,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
282,287,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
283,288,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Reported,-,-,-
284,289,All India,"GOVT. MEDICAL COLLEGE, KOZHIKODE",MBBS,Reported,-,-,-
285,290,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
286,291,Open Seat Quota,"INST.OF MED.SCIENCES, BHU,VARANASI",MBBS,Reported,-,-,-
287,292,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
288,293,All India,"Maulana Azad Medical College, New Delhi",MBBS,Not Reported,OBC,OBC,2
289,294,"IP
University Quota","Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC",MBBS,Reported,-,-,-
290,295,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
291,296,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
292,297,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
293,298,All India,"MEDICAL COLLEGE, KOLKATA",MBBS,Reported,-,-,-
294,299,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI",MBBS,Reported,-,-,-
295,300,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
296,301,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
297,302,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
298,303,All India,"B.J. MEDICAL COLLEGE,
AHMEDABAD",MBBS,Reported,-,-,-
299,304,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
300,305,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
301,306,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
302,307,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
303,308,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Reported,-,-,-
304,309,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
305,310,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Not Reported,-,-,-
306,311,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
307,312,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
308,313,All India,"GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, CHANDIGAR",MBBS,Reported,-,-,-
309,314,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
310,315,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Reported,-,-,-
311,316,Foreign Country Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
